Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_PERC,3P,3PA,3P_PERC,2P,2PA,2P_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_PERC,DRB_PERC,TRB_PERC,AST_PERC,STL_PERC,BLK_PERC,USG_PERC,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,Alex Abrines,SG,24,OKC,71,8,1054,3.7,9.4,0.398,2.7,7,0.388,1,2.3,0.426,1.2,1.4,0.854,0.8,2.8,3.7,0.9,1.2,0.3,0.9,3.9,11.4,9.2,0.57,0.752,0.15,2.5,9,5.6,3.5,1.7,0.7,13,1.2,0.9,2.1,0.095,-0.5,-1.8,-2.3,-0.1
2017,Quincy Acy,PF,27,BRK,64,8,1244,3.3,9.5,0.348,2.6,7.6,0.341,0.7,1.9,0.373,1.4,1.7,0.828,1.1,5.8,6.9,1.5,0.8,0.7,1.7,4,10.6,7.7,0.516,0.796,0.177,3.2,17.3,10.2,6,1.1,1.5,14.3,-0.2,1,0.8,0.029,-2.3,-0.3,-2.6,-0.2
2017,Steven Adams,C,24,OKC,71,71,2321,6.5,10.4,0.628,0,0,0,6.5,10.4,0.63,2.3,4.1,0.563,5.6,4.4,10,1.3,1.4,1.2,1.8,3.1,15.4,21.1,0.63,0.003,0.391,16.8,13.9,15.4,5.4,1.9,3,16.7,6.5,2.9,9.4,0.194,2.4,1.2,3.6,3.2
2017,Bam Adebayo,C,20,MIA,65,19,1304,4.6,8.9,0.514,0,0.2,0,4.6,8.7,0.525,3.3,4.7,0.708,3.1,6.8,9.9,2.7,0.8,1.1,1.7,3.7,12.5,15.6,0.569,0.022,0.529,9.7,21.4,15.6,11.2,1.1,2.5,15.8,2.2,1.8,4,0.149,-1.5,1.8,0.2,0.7
2017,Arron Afflalo,SG,32,ORL,51,3,657,3.3,8.4,0.392,1.4,3.6,0.385,1.9,4.8,0.398,1.2,1.4,0.846,0.2,3.4,3.6,1.6,0.2,0.5,1.2,3,9.2,5.5,0.508,0.425,0.17,0.7,10.5,5.6,6.1,0.3,1.1,12.4,-0.1,0.2,0,0.003,-4.2,-1.8,-6,-0.7
2017,Cole Aldrich,C,29,MIN,19,0,46,3.9,11.7,0.333,0,0,,3.9,11.7,0.333,1.6,4.7,0.333,2.3,7.8,10.2,1.6,1.6,0.8,0.8,8.6,9.4,5.2,0.34,0,0.4,7.5,25.3,16.4,5.9,2.2,1.9,17.9,-0.1,0.1,0,-0.031,-7.4,-0.6,-8,-0.1
2017,LaMarcus Aldridge,C,32,SAS,69,69,2299,9.8,19.3,0.508,0.4,1.4,0.31,9.4,18,0.523,4.9,5.9,0.833,3.6,5.5,9,2.2,0.5,1.3,1.7,2.4,25,24.8,0.57,0.071,0.306,10.9,16.9,13.9,11.5,0.8,2.9,29.3,6.7,3.3,10,0.209,2.9,0.2,3.1,3
2017,Jarrett Allen,C,19,BRK,66,25,1291,5.9,10.2,0.584,0.1,0.4,0.231,5.9,9.8,0.597,3,3.8,0.793,3.8,6,9.8,1.3,0.8,1.9,2.1,3.7,14.9,17.8,0.631,0.036,0.37,11.2,17.9,14.5,5.8,1,4,16.7,2.5,1.3,3.8,0.142,-1,1.2,0.2,0.7
2017,Kadeem Allen,PG,25,BOS,12,0,39,0.9,5.5,0.167,0,2.8,0,0.9,2.8,0.333,2.8,3.7,0.75,0.9,2.8,3.7,2.8,0.9,0,3.7,4.6,4.6,-1.9,0.322,0.5,0.667,2.9,8.3,5.6,10,1.3,0,13.5,-0.1,0,-0.1,-0.1,-9,0,-9,-0.1
2017,Tony Allen,SF,36,NOP,22,0,273,5.8,12,0.484,0.5,1.6,0.333,5.3,10.4,0.506,1.5,2.8,0.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6,8.7,0.514,0.132,0.231,8.2,10.4,9.4,4.6,1.9,0.9,18.9,-0.2,0.2,0.1,0.014,-3.9,-1.3,-5.2,-0.2
